,Actividad,Precio,Puntuación,Enlace,Fecha captura
0,"Musicales de Londres: El Rey León, Mamma Mia, Wicked...",,4.9,https://www.hellotickets.es/reino-unido/londres/teatro/entradas-musicales,2024-10-20
1,Entradas para el Parque de Harry Potter Studios con traslado desde Victoria en Londres,266.0,4.7,https://www.hellotickets.es/reino-unido/londres/entradas-harry-potter-studios-con-traslado-desde-londres/a/pa-655,2024-10-20
2,Entradas para la Torre de Londres con acceso a las Joyas de la Corona y tour con un guarda Beefeater,84.0,4.5,https://www.hellotickets.es/reino-unido/londres/entradas-torre-londres-acceso-joyas-corona/a/pa-747,2024-10-20
3,Tour de Harry Potter en Londres,52.0,4.3,https://www.hellotickets.es/reino-unido/londres/tour-harry-potter/a/pa-656,2024-10-20
4,Entradas para el Museo de Cera Madame Tussauds de Londres,78.0,4.7,https://www.hellotickets.es/reino-unido/londres/entradas-madame-tussauds-londres/a/pa-666,2024-10-20
5,Entradas para el London Eye,68.0,4.6,https://www.hellotickets.es/reino-unido/londres/entradas-london-eye/a/pa-2230,2024-10-20
6,Entradas para la Abadía de Westminster en Londres,84.0,4.8,https://www.hellotickets.es/reino-unido/londres/entradas-abadia-westminster/a/pa-2232,2024-10-20
7,London Pass,250.0,4.8,https://www.hellotickets.es/reino-unido/londres/london-pass/a/pa-673,2024-10-20
8,Entradas para The Shard en Londres,78.0,4.7,https://www.hellotickets.es/reino-unido/londres/entradas-the-shard/a/pa-707,2024-10-20
9,"Oferta: entradas para London Eye, pase para el autobús turístico Big Bus y crucero por el Támesis",150.0,4.9,https://www.hellotickets.es/reino-unido/londres/entradas-london-eye-autobus-turistico-big-bus-crucero-tamesis/a/pa-2237,2024-10-20
10,Autobús turístico City Sightseeing de Londres,102.0,4.5,https://www.hellotickets.es/reino-unido/londres/autobus-turistico-city-sightseeing/a/pa-2235,2024-10-20
11,Crucero por el Támesis,38.0,4.9,https://www.hellotickets.es/reino-unido/londres/crucero-tamesis/a/pa-681,2024-10-20
12,Entradas para Castillo de Windsor,74.0,4.5,https://www.hellotickets.es/reino-unido/londres/entradas-castillo-windsor/a/pa-2234,2024-10-20
13,Entradas para la Catedral de San Pablo de Londres,72.0,4.4,https://www.hellotickets.es/reino-unido/londres/entradas-catedral-san-pablo/a/pa-675,2024-10-20
14,Excursión a Cotswolds desde Londres,300.0,4.8,https://www.hellotickets.es/reino-unido/londres/excursion-cotswolds/a/pa-2236,2024-10-20
15,London Explorer Pass,168.0,4.4,https://www.hellotickets.es/reino-unido/londres/london-explorer-pass/a/pa-674,2024-10-20
16,Excursión a Stonehenge desde Londres,176.0,4.5,https://www.hellotickets.es/reino-unido/londres/excursion-stonehenge/a/pa-676,2024-10-20
17,Tour por el estadio del Arsenal FC,74.0,4.6,https://www.hellotickets.es/reino-unido/londres/tour-estadio-arsenal/a/pa-1777,2024-10-20
18,Entradas para Shrek's Adventure en Londres,52.0,4.8,https://www.hellotickets.es/reino-unido/londres/entradas-shrek-adventures/a/pa-1779,2024-10-20
19,Tour por el estadio de Wembley,62.0,4.7,https://www.hellotickets.es/reino-unido/londres/tour-estadio-wembley/a/pa-1778,2024-10-20
20,Tour por el estadio del Chelsea,102.0,4.4,https://www.hellotickets.es/reino-unido/londres/tour-estadio-chelsea/a/pa-1780,2024-10-20
21,Entradas para Sea Life London,68.0,4.3,https://www.hellotickets.es/reino-unido/londres/entradas-sea-life-london/a/pa-2238,2024-10-20
22,Entradas para la experiencia The Dare Skywalk en Londres de fin de semana,98.0,4.5,https://www.hellotickets.es/reino-unido/londres/entradas-dare-skywalk-fin-de-semana/a/pa-2229,2024-10-20
23,Entradas para el Palacio Kensington en Londres,64.0,4.6,https://www.hellotickets.es/reino-unido/londres/entradas-palacio-kensington/a/pa-1783,2024-10-20
24,Entradas para London Dungeon,64.0,4.8,https://www.hellotickets.es/reino-unido/londres/entradas-london-dungeon/a/pa-1784,2024-10-20
25,Visita guiada al estadio de Tottenham Hotspur,82.0,4.4,https://www.hellotickets.es/reino-unido/londres/visita-guiada-estadio-tottenham-hotspur/a/pa-2239,2024-10-20
26,Entradas para el Parque de Harry Potter Studios con traslado desde King's Cross en Londres,266.0,4.7,https://www.hellotickets.es/reino-unido/londres/entradas-harry-potter-studios-traslado-desde-kings-cross/a/pa-2231,2024-10-20
27,Entrada para ZSL London Zoo,76.0,4.4,https://www.hellotickets.es/reino-unido/londres/entradas-zoo/a/pa-1774,2024-10-20
28,Tour por los estudios de Harry Potter y excursión a Oxford desde Londres,360.0,4.6,https://www.hellotickets.es/reino-unido/londres/tour-estudios-harry-potter-y-excursion-oxford/a/pa-1782,2024-10-20
29,Entradas para el Observatorio de Greenwich en Londres,58.0,4.4,https://www.hellotickets.es/reino-unido/londres/entradas-observatorio-greenwich/a/pa-1775,2024-10-20
30,Visita guiada al Royal Albert Hall de Londres,46.0,4.6,https://www.hellotickets.es/reino-unido/londres/visita-guiada-royal-albert-hall/a/pa-1776,2024-10-20
31,Crucero por el Támesis con paradas libres,66.0,4.2,https://www.hellotickets.es/reino-unido/londres/crucero-tamesis-paradas-libres/a/pa-682,2024-10-20
