,Fecha,Tipo de Precio,Precio,Fecha Captura
0,2024-10-19,Alto,180.15,2024-10-19
1,2024-10-20,Alto,98.45,2024-10-19
2,2024-10-21,Alto,81.0,2024-10-19
3,2024-10-22,Medio,71.93,2024-10-19
4,2024-10-23,Medio,72.01,2024-10-19
5,2024-10-24,Alto,96.48,2024-10-19
6,2024-10-25,Alto,104.71,2024-10-19
7,2024-10-26,Alto,110.51,2024-10-19
8,2024-10-27,Alto,125.91,2024-10-19
9,2024-10-28,Alto,115.11,2024-10-19
10,2024-10-29,Alto,106.94,2024-10-19
11,2024-10-30,Alto,129.69,2024-10-19
12,2024-10-31,Alto,182.0,2024-10-19
13,2024-11-01,Alto,185.0,2024-10-19
14,2024-11-02,Alto,153.59,2024-10-19
15,2024-11-03,Alto,154.94,2024-10-19
16,2024-11-04,Alto,117.68,2024-10-19
17,2024-11-05,Medio,65.27,2024-10-19
18,2024-11-06,Alto,73.98,2024-10-19
19,2024-11-07,Medio,67.22,2024-10-19
20,2024-11-08,Medio,64.0,2024-10-19
21,2024-11-09,Medio,69.12,2024-10-19
22,2024-11-10,Medio,68.44,2024-10-19
23,2024-11-11,Medio,55.42,2024-10-19
24,2024-11-12,Medio,54.03,2024-10-19
25,2024-11-13,Medio,45.89,2024-10-19
26,2024-11-14,Medio,55.0,2024-10-19
27,2024-11-15,Medio,53.0,2024-10-19
28,2024-11-16,Medio,50.49,2024-10-19
29,2024-11-17,Medio,61.24,2024-10-19
30,2024-11-18,Medio,51.9,2024-10-19
31,2024-11-19,Medio,45.62,2024-10-19
32,2024-11-20,Medio,47.68,2024-10-19
33,2024-11-21,Medio,56.43,2024-10-19
34,2024-11-22,Medio,53.0,2024-10-19
35,2024-11-23,Medio,56.21,2024-10-19
36,2024-11-24,Medio,55.68,2024-10-19
37,2024-11-25,Medio,45.56,2024-10-19
38,2024-11-26,Medio,52.83,2024-10-19
39,2024-11-27,Medio,48.0,2024-10-19
40,2024-11-28,Medio,48.0,2024-10-19
41,2024-11-29,Medio,47.68,2024-10-19
42,2024-11-30,Medio,63.42,2024-10-19
43,2024-12-01,Medio,68.0,2024-10-19
44,2024-12-02,Medio,54.14,2024-10-19
45,2024-12-03,Medio,53.0,2024-10-19
46,2024-12-04,Medio,60.0,2024-10-19
47,2024-12-05,Alto,76.0,2024-10-19
48,2024-12-06,Medio,52.83,2024-10-19
49,2024-12-07,Bajo,31.49,2024-10-19
50,2024-12-08,Bajo,29.99,2024-10-19
51,2024-12-09,Bajo,23.27,2024-10-19
52,2024-12-10,Bajo,24.49,2024-10-19
53,2024-12-11,Bajo,23.3,2024-10-19
54,2024-12-12,Bajo,26.99,2024-10-19
55,2024-12-13,Bajo,27.99,2024-10-19
56,2024-12-14,Bajo,27.99,2024-10-19
57,2024-12-15,Bajo,25.88,2024-10-19
58,2024-12-16,Bajo,27.99,2024-10-19
59,2024-12-17,Bajo,24.31,2024-10-19
60,2024-12-18,Bajo,24.49,2024-10-19
61,2024-12-19,Bajo,26.98,2024-10-19
62,2024-12-20,Medio,55.83,2024-10-19
63,2024-12-21,Medio,61.24,2024-10-19
64,2024-12-22,Medio,54.03,2024-10-19
65,2024-12-23,Medio,54.15,2024-10-19
66,2024-12-24,Medio,54.15,2024-10-19
67,2024-12-25,Medio,60.0,2024-10-19
68,2024-12-26,Alto,103.63,2024-10-19
69,2024-12-27,Medio,71.94,2024-10-19
70,2024-12-28,Alto,105.83,2024-10-19
71,2024-12-29,Alto,115.5,2024-10-19
72,2024-12-30,Alto,93.0,2024-10-19
73,2024-12-31,Medio,65.73,2024-10-19
74,2025-01-01,Alto,144.89,2024-10-19
75,2025-01-02,Alto,154.06,2024-10-19
76,2025-01-03,Alto,160.91,2024-10-19
77,2025-01-04,Alto,120.35,2024-10-19
78,2025-01-05,Alto,105.21,2024-10-19
79,2025-01-06,Medio,68.44,2024-10-19
80,2025-01-07,Alto,73.13,2024-10-19
81,2025-01-08,Medio,62.49,2024-10-19
82,2025-01-09,Medio,56.83,2024-10-19
83,2025-01-10,Medio,48.02,2024-10-19
84,2025-01-11,Medio,52.83,2024-10-19
85,2025-01-12,Medio,53.0,2024-10-19
86,2025-01-13,Medio,47.31,2024-10-19
87,2025-01-14,Medio,50.87,2024-10-19
88,2025-01-15,Bajo,26.99,2024-10-19
89,2025-01-16,Medio,48.0,2024-10-19
90,2025-01-17,Bajo,26.99,2024-10-19
91,2025-01-18,Medio,43.1,2024-10-19
92,2025-01-19,Medio,48.02,2024-10-19
93,2025-01-20,Medio,34.49,2024-10-19
94,2025-01-21,Medio,37.72,2024-10-19
95,2025-01-22,Bajo,28.99,2024-10-19
96,2025-01-23,Medio,52.83,2024-10-19
97,2025-01-24,Medio,36.99,2024-10-19
98,2025-01-25,Medio,36.61,2024-10-19
99,2025-01-26,Bajo,31.06,2024-10-19
100,2025-01-27,Bajo,27.9,2024-10-19
101,2025-01-28,Medio,51.8,2024-10-19
102,2025-01-29,Bajo,26.77,2024-10-19
103,2025-01-30,Medio,48.0,2024-10-19
104,2025-01-31,Medio,39.49,2024-10-19
105,2025-02-01,Bajo,32.49,2024-10-19
106,2025-02-02,Medio,41.48,2024-10-19
107,2025-02-03,Medio,38.15,2024-10-19
108,2025-02-04,Bajo,32.22,2024-10-19
109,2025-02-05,Bajo,25.49,2024-10-19
110,2025-02-06,Medio,43.44,2024-10-19
111,2025-02-07,Medio,38.85,2024-10-19
112,2025-02-08,Bajo,24.49,2024-10-19
113,2025-02-09,Bajo,24.49,2024-10-19
114,2025-02-10,Bajo,25.49,2024-10-19
115,2025-02-11,Bajo,24.49,2024-10-19
