,Fecha,Tipo de Precio,Precio,Fecha Captura
0,2024-10-19,Alto,189.27,2024-10-19
1,2024-10-20,Alto,154.0,2024-10-19
2,2024-10-21,Alto,150.53,2024-10-19
3,2024-10-22,Alto,131.0,2024-10-19
4,2024-10-23,Alto,120.0,2024-10-19
5,2024-10-24,Medio,110.0,2024-10-19
6,2024-10-25,Alto,118.2,2024-10-19
7,2024-10-26,Medio,94.0,2024-10-19
8,2024-10-27,Alto,113.0,2024-10-19
9,2024-10-28,Medio,81.0,2024-10-19
10,2024-10-29,Medio,71.0,2024-10-19
11,2024-10-30,Alto,138.0,2024-10-19
12,2024-10-31,Alto,164.44,2024-10-19
13,2024-11-01,Alto,229.33,2024-10-19
14,2024-11-02,Alto,224.83,2024-10-19
15,2024-11-03,Alto,158.0,2024-10-19
16,2024-11-04,Alto,146.0,2024-10-19
17,2024-11-05,Medio,109.0,2024-10-19
18,2024-11-06,Medio,104.0,2024-10-19
19,2024-11-07,Medio,92.9,2024-10-19
20,2024-11-08,Alto,115.0,2024-10-19
21,2024-11-09,Medio,92.17,2024-10-19
22,2024-11-10,Alto,121.0,2024-10-19
23,2024-11-11,Medio,93.0,2024-10-19
24,2024-11-12,Medio,72.44,2024-10-19
25,2024-11-13,Medio,71.48,2024-10-19
26,2024-11-14,Medio,76.3,2024-10-19
27,2024-11-15,Medio,94.33,2024-10-19
28,2024-11-16,Medio,96.8,2024-10-19
29,2024-11-17,Medio,96.95,2024-10-19
30,2024-11-18,Medio,81.0,2024-10-19
31,2024-11-19,Medio,81.4,2024-10-19
32,2024-11-20,Medio,85.58,2024-10-19
33,2024-11-21,Bajo,60.16,2024-10-19
34,2024-11-22,Medio,81.63,2024-10-19
35,2024-11-23,Alto,122.0,2024-10-19
36,2024-11-24,Medio,98.0,2024-10-19
37,2024-11-25,Medio,83.95,2024-10-19
38,2024-11-26,Medio,83.95,2024-10-19
39,2024-11-27,Medio,81.85,2024-10-19
40,2024-11-28,Bajo,58.72,2024-10-19
41,2024-11-29,Medio,67.39,2024-10-19
42,2024-11-30,Alto,113.8,2024-10-19
43,2024-12-01,Medio,108.06,2024-10-19
44,2024-12-02,Medio,84.0,2024-10-19
45,2024-12-03,Medio,96.95,2024-10-19
46,2024-12-04,Medio,88.39,2024-10-19
47,2024-12-05,Medio,76.09,2024-10-19
48,2024-12-06,Medio,69.98,2024-10-19
49,2024-12-07,Bajo,53.17,2024-10-19
50,2024-12-08,Medio,75.0,2024-10-19
51,2024-12-09,Bajo,59.0,2024-10-19
52,2024-12-10,Bajo,51.0,2024-10-19
53,2024-12-11,Bajo,61.0,2024-10-19
54,2024-12-12,Bajo,48.46,2024-10-19
55,2024-12-13,Medio,75.0,2024-10-19
56,2024-12-14,Bajo,56.0,2024-10-19
57,2024-12-15,Bajo,62.5,2024-10-19
58,2024-12-16,Bajo,57.0,2024-10-19
59,2024-12-17,Bajo,59.0,2024-10-19
60,2024-12-18,Bajo,61.31,2024-10-19
61,2024-12-19,Bajo,47.32,2024-10-19
62,2024-12-20,Medio,84.67,2024-10-19
63,2024-12-21,Medio,73.33,2024-10-19
64,2024-12-22,Medio,86.77,2024-10-19
65,2024-12-23,Bajo,59.0,2024-10-19
66,2024-12-24,Bajo,58.0,2024-10-19
67,2024-12-25,Medio,65.86,2024-10-19
68,2024-12-26,Medio,96.8,2024-10-19
69,2024-12-27,Medio,90.72,2024-10-19
70,2024-12-28,Medio,90.8,2024-10-19
71,2024-12-29,Medio,96.67,2024-10-19
72,2024-12-30,Medio,75.0,2024-10-19
73,2024-12-31,Medio,77.39,2024-10-19
74,2025-01-01,Medio,83.8,2024-10-19
75,2025-01-02,Alto,149.0,2024-10-19
76,2025-01-03,Alto,163.61,2024-10-19
77,2025-01-04,Alto,136.12,2024-10-19
78,2025-01-05,Alto,201.5,2024-10-19
79,2025-01-06,Alto,128.52,2024-10-19
80,2025-01-07,Alto,111.76,2024-10-19
81,2025-01-08,Medio,87.22,2024-10-19
82,2025-01-09,Medio,74.0,2024-10-19
83,2025-01-10,Bajo,47.32,2024-10-19
84,2025-01-11,Medio,77.8,2024-10-19
85,2025-01-12,Bajo,60.16,2024-10-19
86,2025-01-13,Medio,66.0,2024-10-19
87,2025-01-14,Bajo,64.31,2024-10-19
88,2025-01-15,Bajo,57.0,2024-10-19
89,2025-01-16,Bajo,63.0,2024-10-19
90,2025-01-17,Bajo,47.32,2024-10-19
91,2025-01-18,Bajo,61.0,2024-10-19
92,2025-01-19,Bajo,61.31,2024-10-19
93,2025-01-20,Bajo,63.0,2024-10-19
94,2025-01-21,Bajo,61.31,2024-10-19
95,2025-01-22,Bajo,61.31,2024-10-19
96,2025-01-23,Medio,72.0,2024-10-19
97,2025-01-24,Bajo,63.48,2024-10-19
98,2025-01-25,Medio,65.0,2024-10-19
99,2025-01-26,Bajo,46.04,2024-10-19
100,2025-01-27,Bajo,63.0,2024-10-19
101,2025-01-28,Bajo,64.31,2024-10-19
102,2025-01-29,Bajo,61.31,2024-10-19
103,2025-01-30,Bajo,63.0,2024-10-19
104,2025-01-31,Bajo,62.89,2024-10-19
105,2025-02-01,Bajo,61.0,2024-10-19
106,2025-02-02,Bajo,51.49,2024-10-19
107,2025-02-03,Bajo,57.57,2024-10-19
108,2025-02-04,Bajo,61.0,2024-10-19
109,2025-02-05,Bajo,61.0,2024-10-19
110,2025-02-06,Bajo,60.16,2024-10-19
111,2025-02-07,Bajo,47.32,2024-10-19
112,2025-02-08,Bajo,56.51,2024-10-19
113,2025-02-09,Bajo,56.47,2024-10-19
114,2025-02-10,Bajo,59.92,2024-10-19
115,2025-02-11,Bajo,61.31,2024-10-19
116,2025-02-12,Bajo,64.31,2024-10-19
117,2025-02-13,Bajo,58.38,2024-10-19
118,2025-02-14,Bajo,58.3,2024-10-19
119,2025-02-15,Medio,66.0,2024-10-19
120,2025-02-16,Bajo,64.31,2024-10-19
121,2025-02-18,Bajo,64.31,2024-10-19
122,2025-02-19,Medio,69.76,2024-10-19
123,2025-02-20,Bajo,59.12,2024-10-19
124,2025-02-21,Medio,68.0,2024-10-19
125,2025-02-22,Medio,68.0,2024-10-19
126,2025-02-23,Medio,67.04,2024-10-19
127,2025-02-24,Medio,70.67,2024-10-19
128,2025-02-25,Bajo,61.58,2024-10-19
129,2025-02-26,Medio,67.04,2024-10-19
130,2025-02-27,Bajo,63.0,2024-10-19
131,2025-02-28,Bajo,63.0,2024-10-19
132,2025-03-02,Bajo,59.38,2024-10-19
133,2025-03-03,Medio,66.0,2024-10-19
134,2025-03-04,Bajo,58.86,2024-10-19
135,2025-03-05,Bajo,60.78,2024-10-19
136,2025-03-06,Bajo,51.31,2024-10-19
137,2025-03-07,Bajo,60.22,2024-10-19
138,2025-03-08,Bajo,62.0,2024-10-19
139,2025-03-09,Medio,67.04,2024-10-19
140,2025-03-10,Bajo,62.8,2024-10-19
141,2025-03-11,Bajo,61.58,2024-10-19
142,2025-03-12,Bajo,61.58,2024-10-19
143,2025-03-13,Medio,69.0,2024-10-19
144,2025-03-14,Bajo,60.11,2024-10-19
145,2025-03-15,Bajo,62.0,2024-10-19
146,2025-03-16,Medio,68.0,2024-10-19
147,2025-03-18,Medio,67.04,2024-10-19
148,2025-03-19,Bajo,56.76,2024-10-19
149,2025-03-23,Bajo,61.58,2024-10-19
150,2025-03-24,Medio,65.25,2024-10-19
151,2025-03-25,Bajo,63.0,2024-10-19
152,2025-03-26,Medio,67.04,2024-10-19
153,2025-03-27,Bajo,51.87,2024-10-19
154,2025-03-28,Medio,66.03,2024-10-19
155,2025-03-30,Medio,109.58,2024-10-19
156,2025-03-31,Medio,69.76,2024-10-19
157,2025-04-01,Medio,69.0,2024-10-19
158,2025-04-02,Alto,135.76,2024-10-19
159,2025-04-03,Medio,65.8,2024-10-19
160,2025-04-05,Medio,65.0,2024-10-19
161,2025-04-06,Medio,77.8,2024-10-19
162,2025-04-07,Medio,88.21,2024-10-19
163,2025-04-08,Alto,129.76,2024-10-19
164,2025-04-09,Medio,68.93,2024-10-19
165,2025-04-10,Medio,88.0,2024-10-19
166,2025-04-11,Medio,94.0,2024-10-19
167,2025-04-12,Medio,100.0,2024-10-19
168,2025-04-13,Medio,92.92,2024-10-19
169,2025-04-14,Medio,65.84,2024-10-19
170,2025-04-15,Alto,141.76,2024-10-19
171,2025-04-16,Alto,184.86,2024-10-19
172,2025-04-17,Alto,204.76,2024-10-19
173,2025-04-18,Medio,105.8,2024-10-19
174,2025-04-19,Medio,86.45,2024-10-19
175,2025-04-20,Alto,183.76,2024-10-19
176,2025-04-21,Alto,134.0,2024-10-19
177,2025-04-22,Alto,159.76,2024-10-19
178,2025-04-23,Medio,93.0,2024-10-19
179,2025-04-24,Medio,80.0,2024-10-19
180,2025-04-26,Alto,265.95,2024-10-19
181,2025-04-27,Alto,114.7,2024-10-19
182,2025-04-28,Medio,80.0,2024-10-19
183,2025-04-29,Alto,122.13,2024-10-19
184,2025-04-30,Alto,113.76,2024-10-19
185,2025-05-01,Medio,73.0,2024-10-19
186,2025-05-03,Medio,105.8,2024-10-19
187,2025-05-04,Alto,133.33,2024-10-19
188,2025-05-05,Alto,116.67,2024-10-19
189,2025-05-06,Alto,128.13,2024-10-19
190,2025-05-07,Alto,128.13,2024-10-19
191,2025-05-08,Medio,77.66,2024-10-19
192,2025-05-09,Medio,77.7,2024-10-19
193,2025-05-10,Medio,69.0,2024-10-19
194,2025-05-11,Medio,77.8,2024-10-19
195,2025-05-12,Medio,77.8,2024-10-19
196,2025-05-13,Medio,74.0,2024-10-19
197,2025-05-14,Medio,75.0,2024-10-19
198,2025-05-15,Alto,134.66,2024-10-19
199,2025-05-16,Medio,68.0,2024-10-19
200,2025-05-17,Alto,116.13,2024-10-19
201,2025-05-18,Alto,183.49,2024-10-19
202,2025-05-19,Alto,184.86,2024-10-19
203,2025-05-20,Bajo,58.98,2024-10-19
204,2025-05-21,Alto,143.94,2024-10-19
205,2025-05-22,Medio,89.95,2024-10-19
206,2025-05-24,Alto,152.13,2024-10-19
207,2025-05-25,Medio,77.8,2024-10-19
208,2025-05-26,Medio,79.0,2024-10-19
209,2025-05-27,Alto,146.13,2024-10-19
210,2025-05-28,Medio,77.56,2024-10-19
211,2025-05-29,Medio,65.8,2024-10-19
212,2025-05-30,Medio,105.73,2024-10-19
213,2025-05-31,Medio,88.73,2024-10-19
214,2025-06-01,Medio,88.73,2024-10-19
215,2025-06-02,Alto,167.95,2024-10-19
216,2025-06-03,Medio,72.95,2024-10-19
217,2025-06-04,Alto,116.13,2024-10-19
218,2025-06-05,Alto,134.66,2024-10-19
219,2025-06-06,Medio,77.8,2024-10-19
220,2025-06-07,Medio,77.8,2024-10-19
221,2025-06-08,Medio,77.8,2024-10-19
222,2025-06-09,Bajo,58.98,2024-10-19
223,2025-06-10,Medio,88.73,2024-10-19
