,Nombre,Entrada,Salida,Puntuación,Precio,Latitud,Longitud,Fecha Captura
0,"Holiday Inn Express London-Hammersmith, an IHG Hotel",2024-11-15,2024-11-18,8.0,516.26,51.4926683675803,-0.231474637985229,2024-10-19
1,"Holiday Inn Express London - Wandsworth, an IHG Hotel",2024-11-15,2024-11-18,7.7,515.06,51.4622929534794,-0.189114511013031,2024-10-19
2,Hilton London Olympia,2024-11-15,2024-11-18,7.1,514.1,51.4965976681379,-0.206414088606834,2024-10-19
3,citizenM Southwark Bankside,2024-11-15,2024-11-18,8.6,561.76,51.5052432744949,-0.0982010364532471,2024-10-19
4,City Rooms,2024-11-15,2024-11-18,7.1,422.43,51.5162533839956,-0.0761877645568348,2024-10-19
5,The Tudor Inn Hotel,2024-11-15,2024-11-18,7.1,510.59,51.4914458222656,-0.142763868157544,2024-10-19
6,Hampton By Hilton London Docklands,2024-11-15,2024-11-18,8.3,405.04,51.507734,0.0413260000000264,2024-10-19
7,Novotel London Greenwich,2024-11-15,2024-11-18,7.6,434.93,51.4778949751563,-0.0135397911071777,2024-10-19
8,The Corner London City,2024-11-15,2024-11-18,8.1,407.1,51.5160885800529,-0.0677423364686547,2024-10-19
9,"Holiday Inn Express London - ExCel, an IHG Hotel",2024-11-15,2024-11-18,8.1,426.61,51.508232,0.043758,2024-10-19
10,Hampton By Hilton London City,2024-11-15,2024-11-18,8.5,558.39,51.516706,-0.069734,2024-10-19
11,Hyde Park Superior Apartments,2024-11-15,2024-11-18,7.2,435.43,51.5118758589315,-0.186049220849436,2024-10-19
12,Grand Royale Hyde Park,2024-11-15,2024-11-18,7.0,519.51,51.5110077702206,-0.186204314231873,2024-10-19
13,Alhambra Hotel,2024-11-15,2024-11-18,7.6,526.53,51.5293765032042,-0.123812109231949,2024-10-19
14,"Holiday Inn Express Earls Court, an IHG Hotel",2024-11-15,2024-11-18,8.1,545.86,51.4862535117402,-0.202796459197998,2024-10-19
15,"Holiday Inn Express London Chingford, an IHG Hotel",2024-11-15,2024-11-18,7.2,440.62,51.602652418073,-0.0191831588745117,2024-10-19
16,Hampton by Hilton London Park Royal,2024-11-15,2024-11-18,8.2,448.94,51.52754518,-0.286011816,2024-10-19
17,"The Gantry London, Curio Collection By Hilton",2024-11-15,2024-11-18,8.7,572.92,51.54632518,-0.0078213,2024-10-19
18,ibis London Canning Town,2024-11-15,2024-11-18,8.9,438.24,51.514663,0.00881900000001679,2024-10-19
19,The Westbridge Hotel Stratford,2024-11-15,2024-11-18,8.2,454.53,51.5375137229214,-0.00232815742492676,2024-10-19
