,Fecha Salida,Hora Salida,Fecha Llegada,Hora Llegada,Origen,Destino,Duración,Escalas,Aerolínea,Precio,Fecha Captura
0,2024-11-15,07:05:00,2024-11-15,09:45:00,Madrid,Munich,160,0,Air Europa,333.0,2024-10-19
1,2024-11-18,19:05:00,2024-11-18,21:50:00,Munich,Madrid,165,0,Air Europa,333.0,2024-10-19
2,2024-11-15,15:00:00,2024-11-15,17:40:00,Madrid,Munich,160,0,Air Europa,406.0,2024-10-19
3,2024-11-18,19:05:00,2024-11-18,21:50:00,Munich,Madrid,165,0,Air Europa,406.0,2024-10-19
4,2024-11-15,08:50:00,2024-11-15,11:30:00,Madrid,Munich,160,0,Iberia,464.18,2024-10-19
5,2024-11-18,12:10:00,2024-11-18,15:00:00,Munich,Madrid,170,0,Iberia,464.18,2024-10-19
6,2024-11-15,16:00:00,2024-11-15,18:35:00,Madrid,Munich,155,0,Iberia,498.18,2024-10-19
7,2024-11-18,12:10:00,2024-11-18,15:00:00,Munich,Madrid,170,0,Iberia,498.18,2024-10-19
8,2024-11-15,20:00:00,2024-11-15,22:40:00,Madrid,Munich,160,0,Iberia,432.18,2024-10-19
9,2024-11-18,12:10:00,2024-11-18,15:00:00,Munich,Madrid,170,0,Iberia,432.18,2024-10-19
10,2024-11-15,15:00:00,2024-11-15,17:40:00,Madrid,Munich,160,0,Air Europa,521.0,2024-10-19
11,2024-11-18,10:45:00,2024-11-18,13:30:00,Munich,Madrid,165,0,Air Europa,521.0,2024-10-19
12,2024-11-15,07:05:00,2024-11-15,09:45:00,Madrid,Munich,160,0,Air Europa,448.0,2024-10-19
13,2024-11-18,10:45:00,2024-11-18,13:30:00,Munich,Madrid,165,0,Air Europa,448.0,2024-10-19
14,2024-11-15,20:00:00,2024-11-15,22:40:00,Madrid,Munich,160,0,Iberia,440.0,2024-10-19
15,2024-11-18,07:15:00,2024-11-18,10:05:00,Munich,Madrid,170,0,Iberia,440.0,2024-10-19
16,2024-11-15,08:50:00,2024-11-15,11:30:00,Madrid,Munich,160,0,Iberia,526.18,2024-10-19
17,2024-11-18,19:15:00,2024-11-18,22:05:00,Munich,Madrid,170,0,Iberia,526.18,2024-10-19
18,2024-11-15,07:05:00,2024-11-15,09:45:00,Madrid,Munich,160,0,Air Europa,449.0,2024-10-19
19,2024-11-18,12:10:00,2024-11-18,15:00:00,Munich,Madrid,170,0,Iberia,449.0,2024-10-19
